iter	accept?	e	prior	jcoup_e	shift_e	p_a	iter_times
81	+	-134.772767	-0.001737	-48.391564	-39.007270	1.000000	2.145797s
82	+	-134.388593	-0.001723	-48.391082	-39.007758	1.000000	2.218361s
83	-	-135.680691	-0.001770	-48.407346	-39.006187	0.274693	2.340552s
84	+	-132.988919	-0.001671	-48.402652	-39.020562	1.000000	2.419748s
85	-	-134.271846	-0.001718	-48.398889	-39.017139	0.277224	2.193701s
86	-	-133.828779	-0.001702	-48.397428	-39.020997	0.431770	2.088064s
87	-	-134.301139	-0.001720	-48.390496	-39.015118	0.269221	2.046889s
88	+	-132.479504	-0.001653	-48.377186	-39.022352	1.000000	2.071071s
89	-	-134.103399	-0.001713	-48.376793	-39.013028	0.197128	2.079150s
90	+	-132.344105	-0.001648	-48.381652	-39.026879	1.000000	2.072897s
91	+	-132.450464	-0.001651	-48.399565	-39.030660	0.899101	2.068971s
92	-	-135.183740	-0.001750	-48.421274	-39.035788	0.065005	2.071215s
93	+	-133.361096	-0.001685	-48.392341	-39.033917	0.402269	2.063882s
94	-	-133.859481	-0.001703	-48.395244	-39.038351	0.607510	2.414798s
95	+	-132.462436	-0.001652	-48.388225	-39.033270	1.000000	2.131926s
96	+	-131.473992	-0.001616	-48.376744	-39.032732	1.000000	2.161963s
97	+	-131.335346	-0.001610	-48.398459	-39.031138	1.000000	2.100521s
98	+	-130.158949	-0.001567	-48.391796	-39.033878	1.000000	2.128966s
99	+	-129.034279	-0.001527	-48.351799	-39.033286	1.000000	2.259601s
100	+	-129.885901	-0.001558	-48.382161	-39.031795	0.426721	2.166569s
101	+	-130.803137	-0.001591	-48.382356	-39.036003	0.399621	2.193327s
102	+	-129.931098	-0.001559	-48.392207	-39.041584	1.000000	2.075436s
103	+	-129.532194	-0.001544	-48.393871	-39.042519	1.000000	2.095925s
104	+	-130.072744	-0.001564	-48.387642	-39.041685	0.582427	2.120922s
105	+	-129.702254	-0.001549	-48.428217	-39.046361	1.000000	2.118645s
106	+	-129.867966	-0.001556	-48.406976	-39.043669	0.847289	2.095049s
107	+	-129.668955	-0.001548	-48.412993	-39.047564	1.000000	2.071457s
108	-	-130.785020	-0.001590	-48.386188	-39.040951	0.327564	2.236166s
109	-	-131.358381	-0.001608	-48.442269	-39.059462	0.184624	2.425894s
110	+	-129.071479	-0.001527	-48.371400	-39.054782	1.000000	2.284259s
111	+	-128.566960	-0.001508	-48.388185	-39.055094	1.000000	2.082965s
112	-	-129.755572	-0.001552	-48.384048	-39.056682	0.304642	2.063934s
113	+	-129.825599	-0.001554	-48.382157	-39.062487	0.284039	2.058385s
114	+	-130.080755	-0.001563	-48.412438	-39.054984	0.774794	2.110711s
115	-	-131.009561	-0.001597	-48.418322	-39.055387	0.395023	2.067996s
116	+	-130.070844	-0.001563	-48.395847	-39.056879	1.000000	2.069862s
117	+	-129.987177	-0.001560	-48.383744	-39.065592	1.000000	2.337435s
